road,1,0,0,0
road,1,0,300,0
road,1,0,600,0
gate,0,0,600,0
road,2,-60,730,0
road,1,-360,730,-90
road,1,-660,730,-90
gate,1,-660,730,90
road,2,-780,730,90
road,1,-780,600,180
road,1,-780,300,180
road,1,-780,0,0
road,1,-780,-300,0
road,1,-780,-600,0
gate,2,-780,-900,0
road,2,-780,-900,180
road,1,-650,-960,-90
road,1,-350,-960,-90
gate,3,-60,-960,90
road,2,-60,-900,-90
road,1,0,-600,0
road,1,0,-300,0
tree,2,-672,613
tree,2,-131,610
tree,2,-364,383
tree,2,-504,307
tree,2,-606,392
tree,2,-319,560
tree,2,-454,596
tree,2,-165,344
tree,2,-224,138
tree,2,-422,208
tree,3,-562,157
tree,3,-688,243
tree,3,-149,470
tree,3,-372,10
tree,3,-139,6
tree,3,-617,6
tree,3,-604,-156
tree,3,-421,-227
tree,3,-165,-161
tree,2,-514,-82
tree,2,-295,-134
tree,1,-684,-331
tree,1,-589,-530
tree,1,-475,-715
tree,1,-442,-346
tree,1,-677,-811
tree,1,-156,-773
tree,1,-194,-497
tree,1,-213,-335
tree,1,-395,-548
tree,2,-276,-698
tree,2,-644,-666
tree,2,-702,-482
tree,2,-145,-653
name,The Park of Beginnings
ground,64,201,62
laps,3
