road,1,0,0,0
road,2,0,127,90
road,2,0,127,90
road,1,129,127,90
road,1,427,127,90
road,1,725,126,90
road,2,-1,-298,180
road,1,129,-358,90
road,1,428,-358,90
road,2,724,-297,270
road,1,1027,127,90
road,1,1027,127,90
road,2,784,-167,90
road,2,847,-167,270
road,2,907,-40,90
road,2,1032,-41,0
road,1,1092,-165,0
road,1,1092,-461,0
road,2,1323,125,0
road,2,1382,-2,180
road,2,1507,-61,0
road,1,1568,-187,0
road,2,1032,-757,270
road,1,733,-817,90
road,1,437,-818,90
road,2,308,-817,90
road,2,310,-882,270
road,2,182,-941,90
road,2,121,-1002,180
road,1,121,-704,0
road,1,182,-1130,0
road,2,60,-576,0
road,2,-70,-575,90
road,1,-69,-703,0
road,1,-69,-1002,0
road,1,-69,-1300,0
road,2,-69,-1598,180
road,1,61,-1657,90
road,1,61,-1657,90
road,2,182,-1429,180
road,1,309,-1488,90
road,1,359,-1657,90
road,2,609,-1489,0
road,2,609,-1597,270
road,2,1568,-485,180
road,2,1696,-485,270
road,1,1757,-185,0
road,1,1757,105,0
road,2,1697,232,0
road,1,1404,232,90
road,1,1108,232,90
road,1,812,232,90
road,1,514,232,90
road,1,216,232,90
road,2,98,232,90
gate,0,2,61,0
gate,1,1369,125,90
gate,2,1555,-59,90
gate,3,1570,-540,0
gate,4,1756,-539,0
gate,5,1738,234,90
gate,6,169,230,90
gate,7,2,-344,0
gate,8,785,-345,0
gate,9,1035,-39,90
gate,10,1083,-818,90
gate,11,305,-940,90
gate,12,176,-1056,90
gate,13,51,-575,90
gate,14,-67,-1647,0
gate,15,658,-1657,90
gate,16,656,-1490,90
gate,17,182,-1476,0
gate,18,288,-940,90
gate,19,1069,-817,90
gate,20,1050,-40,90
gate,21,784,-331,0
gate,22,0,-358,0
name,Quick Silver
ground,163,215,220
laps,4
