road,1,0,0,0
road,1,0,300,0
road,1,0,600,0
road,1,0,900,0
road,2,0,1030,90
road,1,130,1030,90
road,2,430,1030,0
road,1,490,900,0
road,1,490,600,0
road,1,490,300,0
road,1,490,0,0
road,1,490,-300,0
road,1,490,-600,0
road,2,430,-900,270
road,1,130,-960,90
road,2,0,-900,180
road,1,0,-300,0
road,1,0,-600,0
road,2,245,-900,180
road,1,245,-600,0
road,1,245,-300,0
road,1,245,0,0
road,1,245,300,0
road,1,245,600,0
road,1,245,900,0
road,1,245,1200,0
road,2,185,1330,0
road,1,-115,1330,90
road,1,-415,1330,90
road,2,-545,1330,90
road,1,-545,1200,0
road,1,-545,900,0
road,1,-545,600,0
road,1,-545,300,0
road,1,-545,0,0
road,1,-545,-300,0
road,1,-545,-600,0
road,2,-545,-900,180
road,1,-415,-960,90
road,1,-115,-960,90
road,2,245,1330,90
road,1,375,1330,90
road,1,675,1330,90
road,2,975,1330,0
road,1,1035,1200,0
road,1,1035,900,0
road,1,1035,600,0
road,1,1035,300,0
road,1,1035,0,0
road,1,1035,-300,0
road,1,1035,-600,0
road,1,1035,-900,0
road,1,1035,-1200,0
road,1,1035,-1500,0
road,1,1035,-1800,0
road,1,1035,-2100,0
road,1,1035,-2400,0
road,1,1035,-2700,0
road,1,1035,-3000,0
road,1,1035,-3300,0
road,2,975,-3600,270
road,2,845,-3600,180
road,2,785,-3470,0
road,2,655,-3410,180
road,2,595,-3280,0
road,2,465,-3220,180
road,2,405,-3090,0
road,2,275,-3030,180
road,1,275,-2730,0
road,1,275,-2430,0
road,1,275,-2130,0
road,1,275,-1830,0
road,2,215,-1700,0
road,1,-85,-1700,90
road,2,-215,-1640,180
road,1,-215,-1340,0
road,1,-215,-1040,0
road,1,-215,-740,0
road,1,-215,-440,0
road,1,-215,-140,0
road,1,-215,160,0
road,1,-215,460,0
road,1,-215,760,0
road,1,-215,900,0
road,2,-215,1030,90
road,1,-85,1030,90
road,1,0,-950,0
road,1,0,-1250,0
road,1,0,-1550,0
road,1,0,-1850,0
road,1,0,-2150,0
road,2,0,-2450,180
road,1,130,-2510,90
road,1,430,-2510,90
road,1,730,-2510,90
road,1,1030,-2510,90
road,1,1330,-2510,90
road,1,1630,-2510,90
road,1,1930,-2510,90
road,1,2230,-2510,90
road,2,2530,-2450,270
road,2,2530,-2320,0
road,2,2400,-2260,180
road,2,2400,-2130,90
road,2,2530,-2070,270
road,1,2590,-1770,0
road,1,2590,-1643,360
road,2,2400,-1513,90
road,2,2340,-1640,270
road,2,2530,-1513,360
road,1,2040,-1700,90
road,1,1740,-1700,90
road,1,1440,-1700,90
road,1,1140,-1700,90
road,1,840,-1700,90
road,1,540,-1700,90
road,1,240,-1700,90
road,2,0,0,180
road,2,75,0,270
road,2,75,85,0
road,2,0,145,180
gate,0,0,900,0
gate,1,450,1030,90
gate,2,490,-890,0
gate,3,245,-890,0
gate,4,245,1215,0
gate,5,180,1330,90
gate,6,-545,1200,0
gate,7,-545,-900,0
gate,8,100,-960,90
gate,9,245,-883,0
gate,10,245,1220,0
gate,11,370,1330,90
gate,12,1035,1220,0
gate,13,1035,-3600,0
gate,14,845,-3600,0
gate,15,275,-3020,0
gate,16,230,-1700,90
gate,17,-120,-1700,90
gate,18,-215,900,0
gate,19,0,893,0
gate,20,0,-2440,0
gate,21,2520,-2510,90
gate,22,2591,-2445,0
gate,23,2515,-2320,90
gate,24,2400,-2255,0
gate,25,2510,-2129,90
gate,26,2590,-1615,0
gate,27,2400,-1615,0
gate,28,-113,-1700,90
gate,29,-215,893,0
gate,30,0,886,0
gate,31,0,0,0
tree,2,103,-840
tree,2,103,-710
tree,2,103,-590
tree,2,103,-470
tree,2,103,-350
tree,2,103,-230
tree,2,103,200
tree,2,103,330
tree,2,103,450
tree,2,103,570
tree,2,103,700
tree,2,103,830
tree,2,103,950
tree,2,353,950
tree,2,353,820
tree,2,353,680
tree,2,353,540
tree,2,353,410
tree,2,353,290
tree,2,353,150
tree,2,353,10
tree,2,353,-130
tree,2,353,-270
tree,2,353,-400
tree,2,353,-540
tree,2,353,-670
tree,2,353,-830
tree,2,-127,-830
tree,2,-127,-680
tree,2,-127,-540
tree,2,-127,-400
tree,2,-127,-260
tree,2,-127,-130
tree,2,-127,0
tree,2,-127,150
tree,2,-127,280
tree,2,-127,430
tree,2,-127,570
tree,2,-127,710
tree,2,-127,840
tree,2,-127,950
tree,3,-402,1222
tree,3,-170,1169
tree,3,37,1223
tree,3,380,1239
tree,3,640,1185
tree,3,878,1220
tree,3,863,910
tree,3,647,890
tree,3,648,630
tree,3,788,480
tree,3,868,640
tree,3,618,400
tree,3,738,260
tree,3,888,110
tree,3,768,-30
tree,3,608,90
tree,3,628,-100
tree,3,828,-220
tree,3,728,-380
tree,3,588,-270
tree,3,568,-470
tree,3,698,-600
tree,3,838,-470
